StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat
Han2023_QGND,0,673,773,0,0,0,0,0,0,0,0,1.156,0,121000,590,0,0,0,0,0,0,0,0,0,2600
Han2023_QGNP,0,573,873,0,0,0,0,0,0,0,0,0.229,0,88000,90,0,0,0,0,0,0,0,0,0,2600
Han2023_QGND_1GPa_lowT,0,573,873,1,1,0,0,0,0,0,0,2.62,0,83700,330,0,0,0,0,0,0,0,0,0,2600
Han2023_QGNP_1GPa_lowT,0,573,823,1,1,0,0,0,0,0,0,0.693,0,82400,350,0,0,0,0,0,0,0,0,0,2600
Han2023_QGSP,0,773,1273,1,1,0,0,0,0,0,0,2.539,0,119000,0,0,0,0,0,0,0,0,0,0,2600
Han2023_HGSP,0,773,1273,1,1,0,0,0,0,0,0,1.372,0,101000,0,0,0,0,0,0,0,0,0,0,2600
Han2023_HGND,0,673,773,0,0,0,0,0,0,0,0,0.9958,0,122000,6300,0,0,0,0,0,0,0,0,0,2600
Han2023_HGNP,0,573,873,0,0,0,0,0,0,0,0,0.5,0,76000,700,0,0,0,0,0,0,0,0,0,2600
Guo2017_MuscoviteGranite,3,577,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
Guo2017_BiotiteGranite,3,587,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
Dai2014_Xa0.1,0,773,1173,0.5,0.5,0,0,0,0,0,0,1.26,0.09,118000,2000,0,0,0,0,0,0,0,0,0,2600
Dai2014_Xa0.16,0,773,1123,0.5,0.5,0,0,0,0,0,0,1.24,0.93,93000,1000,0,0,0,0,0,0,0,0,0,2600
