RefName,sio2,al2o3,mgo,feo,cao,na2o,k2o,tio2,mno,p2o5,cr2o3,h2o,Total
Pommier2008_WetBasalt_Na,59.89,23.58,0.21,2.09,3.09,Variable,10.89,0.17,0,0.08,0,Variable,100
Ni2011_WetBasalt,49.8,19.52,12.99,0,13,3.47,0,1.15,0.05,0,0.02,Variable,100
Scarlato2004_DryBasalt_H1604,54.28,19.44,1.39,6.7,3.43,6.66,5.97,1.23,0.17,0.73,0,0,100
TyburczyWaff1983_DryTholeiite,51.61,13.65,7.36,10.98,10.58,2.5,0.53,2.61,0.18,0,0,0,100
TyburczyWaff1983_DryAndesite,62.15,16.8,3.25,4.95,5.08,5.02,1.73,0.77,0.25,0,0,0,100
Guo2017_WetAndesite,61.2,17.31,5.185,0.07,10.72,3.24,1.39,0.885,0,0,0,Variable,100
Laumonier2017_WetAndesite,60.94,17.2,3.2,6.6,5.54,2.09,3.17,1.14,0.12,0,0,Variable,100
Laumonier2015_WetDacite,67.94,15.3,1.45,4.24,3.31,2.09,4.69,0.91,0.07,0,0,Variable,100
Gaillard2004_WetRhyolite,74.5,13.24,0.08,1.6,0.7,4.15,5.63,0.1,0,0,0,Variable,100
Guo2016_WetRhyolite,76.71,11.26,0.02,2.54,0.17,4.74,4.33,0.15,0.08,0,0,Variable,100
Chen2018_WetGranite,74.64,14.83,0.18,0.96,0.74,4.49,3.97,0.05,0,0.14,0,Variable,100
Guo2018_WetGranite,73.67,15.52,0.24,0.9,0.63,3.45,5.49,0.09,0.01,0,0,Variable,100
Sifre2014_Wet_Carbonated,38.11,11.03,17.05,5.84,23.27,2.21,0.49,1.36,0.14,0.5,0,Variable,100
Poe2008_Phonotephrite_Average,54.47,12.22,5.32,9.59,9.21,2.44,6.75,0,0,0,0,0,100
